user_id,merchant_id,click,add-to-cart,purchase,add-to-favourite,gender,age_range,label
100009,386,3,0,1,0,1,3,0
100145,2883,0,0,1,0,0,4,0
100145,4871,0,0,1,0,0,4,0
10016,2545,23,0,2,0,1,4,0
10016,897,24,0,2,0,1,4,0
100258,1186,12,0,1,0,0,3,0
100343,3170,0,1,1,0,1,5,0
100508,3042,27,0,4,0,1,4,0
100510,798,14,0,3,1,0,3,0
100565,490,4,0,1,0,2,4,1
100607,2403,15,0,2,0,0,5,0
100757,3825,12,0,4,0,1,4,0
100757,3525,2,0,1,0,1,4,0
100767,3420,1,0,1,5,2,5,0
10093,4044,15,0,1,0,1,5,0
10121,1281,1,0,1,0,0,6,0
10121,731,3,0,1,0,0,6,0
10121,3205,3,0,1,0,0,6,0
101738,804,1,0,1,0,0,4,0
101790,798,3,0,1,0,0,0,0
101864,3828,14,0,3,0,0,5,0
102039,1102,139,0,1,3,1,6,0
102043,1067,0,0,1,0,1,6,0
10213,941,4,0,1,0,0,3,0
102197,252,2,0,1,0,1,4,0
10225,3839,5,0,1,0,1,5,0
102345,4905,13,0,2,0,1,5,0
102361,4589,2,0,1,1,0,5,0
102429,3578,20,0,2,0,0,5,0
102429,437,32,0,1,0,0,5,0
102874,1742,6,0,1,0,1,3,0
10290,1557,8,0,2,2,0,3,0
10290,3578,18,0,2,3,0,3,0
103104,24,2,0,1,0,0,4,0
103104,3809,6,0,1,0,0,4,0
103113,4282,16,0,1,0,0,4,0
103247,3088,6,0,2,0,0,4,0
103338,3828,50,0,2,0,2,5,0
103367,3955,8,0,1,1,1,4,0
103577,1283,0,0,1,1,0,3,0
103880,3990,1,0,2,0,0,4,0
103932,4368,19,0,1,0,1,3,1
104049,1884,3,0,1,0,1,4,0
104231,10,7,0,1,0,1,4,0
104396,4475,1,0,1,0,1,4,0
104417,4385,6,0,1,0,1,4,0
104420,3159,2,0,1,0,0,6,0
10452,4755,1,0,1,0,0,5,0
10452,4648,0,0,1,0,0,5,0
104634,915,32,0,1,7,1,4,0
104790,4500,6,0,4,0,0,3,0
104982,4444,51,0,6,0,1,6,0
105045,4848,12,0,1,0,1,3,0
105278,3484,2,0,2,0,1,3,0
10541,66,6,0,1,0,0,3,0
105827,189,3,0,1,0,0,4,0
105864,2173,17,0,1,0,0,6,0
105865,4044,8,0,2,2,1,5,0
105956,2066,10,0,1,2,1,4,0
105956,1840,9,0,1,2,1,4,0
105956,2424,20,0,1,1,1,4,0
106083,152,6,0,1,1,0,6,0
106083,951,3,0,1,0,0,6,0
10629,1489,0,0,1,0,0,3,0
106424,296,17,2,1,0,0,5,0
106428,4697,15,0,1,1,0,5,0
106428,360,8,0,1,1,0,5,0
106492,4368,15,0,2,0,0,5,0
106569,3271,3,0,1,0,0,6,0
106587,1392,5,0,1,0,0,4,0
106762,4267,10,0,1,0,0,5,0
106762,4850,9,0,2,0,0,5,0
106841,4760,5,0,1,0,0,5,0
106841,2900,1,0,1,0,0,5,0
106970,2641,2,0,1,0,0,4,0
107017,4808,2,0,1,0,1,5,0
107129,4256,4,0,1,0,0,5,0
107149,2972,1,0,1,0,1,0,0
107149,687,1,0,1,0,1,0,0
10737,1298,8,0,1,0,0,4,0
107617,3554,9,0,3,0,1,5,0
108201,2403,18,2,2,0,0,4,0
108201,4499,0,0,2,0,0,4,0
108321,4693,20,0,1,0,0,5,0
108321,1916,0,0,3,0,0,5,0
108360,4305,0,0,1,0,1,4,0
108360,1359,0,0,1,0,1,4,0
108360,4558,0,0,1,0,1,4,0
108361,2545,5,0,2,0,1,3,1
108385,310,10,1,1,0,1,6,0
108691,4818,3,0,1,1,0,4,0
108741,4760,1,0,1,0,0,4,0
108781,1346,35,0,2,2,0,4,1
108781,1162,81,0,4,3,0,4,0
108781,3624,6,0,2,0,0,4,1
108885,1749,5,0,1,1,0,4,0
108885,4558,1,0,1,1,0,4,0
108897,4173,1,0,4,0,0,4,0
108897,437,12,0,1,0,0,4,0
108907,3538,3,0,3,0,0,4,0
108925,66,17,0,1,0,1,6,1
109075,3672,5,0,1,1,1,3,0
109085,10,2,0,1,0,0,4,0
109344,2204,13,0,2,0,1,6,1
109470,1485,4,0,2,3,0,5,0
109470,4614,0,0,1,0,0,5,0
109549,2579,0,0,1,1,0,5,0
109631,1798,8,0,1,0,1,4,0
109657,2589,11,0,3,1,1,3,0
109823,66,2,0,3,0,0,6,0
109881,2639,18,0,1,0,0,4,0
109908,1203,4,0,1,0,0,4,0
109939,4427,1,0,1,0,0,4,0
10995,2939,19,0,1,0,0,6,0
10995,1500,3,0,1,1,0,6,0
110144,2403,9,0,1,4,0,0,0
110264,2883,10,0,1,0,1,7,0
110294,2173,33,0,2,0,1,3,0
110361,1246,2,0,1,0,1,3,0
110444,643,17,0,1,3,0,4,0
110695,320,2,0,1,1,0,4,0
110769,742,0,0,1,0,0,4,0
110872,4850,0,0,1,0,0,5,0
110965,1738,4,0,1,1,0,3,0
110965,2592,2,0,1,0,0,3,0
111015,121,20,0,2,0,0,6,0
111087,4249,0,0,1,0,0,8,0
111182,3161,21,0,2,0,1,5,0
111525,1102,4,0,1,1,0,4,0
111525,2565,7,0,1,1,0,4,0
